"Geneid"	"queen.beta.estimate"	"queen.adjusted.pvalue"	"worker.beta.estimate"	"worker.adjusted.pvalue"
"125"	"MSTRG.6501"	0.50455284995411	0.00102436663595161	-0.963858652083383	6.39058845186139e-05
"126"	"MSTRG.6585"	-0.221383078638745	0.107508498796007	-1.30397071602457	1.08205349456892e-07
"127"	"MSTRG.6602"	0.375346716464858	0.0802926575166108	1.94349397391534	4.48098788776476e-11
"128"	"MSTRG.6604"	-0.912545409143994	0.0002675541702591	2.07968185119965	5.28820491339838e-15
"129"	"MSTRG.6646"	0.0477618864438666	0.824104942542309	-1.10752103355722	4.16754362897939e-09
"130"	"MSTRG.6828"	0.624056990207656	1.61600058600297e-09	-0.124310264437487	0.560575063181997
"131"	"MSTRG.6996"	0.0800427076735365	0.71481702878287	-1.42077059512349	0.000369059012192231
"132"	"MSTRG.7042"	-0.554129598806806	0.0127179672990825	0.131847429273768	0.536804369632177
"133"	"MSTRG.7078"	-0.128578058054074	0.223298177420703	-0.868967036598261	0.000203448278775299
"134"	"MSTRG.7187"	-0.559563292151034	0.00651513722076927	0.235037241555205	0.258946071440622
"135"	"MSTRG.7317"	-1.04217097776316	0.000961337898390627	-0.255990065086507	0.258946071440622
"136"	"MSTRG.7356"	0.371721963909648	0.188166740087538	-2.07420135501628	9.09920794354077e-11
"137"	"MSTRG.7357"	-2.00653477087175	0.000112159623939901	-4.22558121818385	1.34126940553278e-32
"138"	"MSTRG.7362"	-0.144830947878456	0.66037451181125	-2.06323859882172	1.0693254326203e-09
"139"	"MSTRG.7386"	0.210291074644135	0.671641896127939	1.50916723785088	4.36082383577732e-11
"140"	"MSTRG.7389"	0.825745302001469	2.59169865352254e-07	-0.211357192558536	0.362795082596594
"141"	"MSTRG.7674"	-0.457069880461168	0.193184716239432	-3.28635539862328	4.15528195984165e-28
"142"	"MSTRG.7743"	0.709611167857792	0.00262047636184652	-1.5542373899576	1.19135082423987e-06
"143"	"MSTRG.7831"	0.290451319097935	0.000291536228262866	-0.654774815500627	0.0068878072779881
"144"	"MSTRG.7908"	0.513414861387873	5.7144046751138e-05	-0.44530134102028	0.0736515400696165
"145"	"MSTRG.8006"	0.446042141344685	0.00207792443455049	-0.631250778526695	0.0167702388548524
"146"	"MSTRG.8008"	0.350542905967357	0.0758587854208422	1.29903159099197	1.4463674216042e-05
"147"	"MSTRG.8115"	0.475107541163912	0.00257441370754631	-0.966782560681822	3.42855037679482e-05
"148"	"MSTRG.8126"	1.20336550807685	8.44803443564143e-13	-0.362851615830462	0.230104954092734
"149"	"MSTRG.8143"	0.268011086141273	0.127849890406664	-3.95260218064926	1.1559879505351e-20
"150"	"MSTRG.8146"	0.0946652265410787	0.66037451181125	-3.26061685396036	2.85926169436768e-26
"151"	"MSTRG.8164"	-0.264479175372117	0.12479609414068	-2.11839916837971	5.88138884505577e-11
"152"	"MSTRG.8312"	-0.0235990401161353	0.914838244850305	1.4100898550904	6.54086356784425e-08
"153"	"MSTRG.8345"	0.32186553927287	0.262915842291891	-1.29257791757779	1.34211950210075e-05
"154"	"MSTRG.8475"	0.0836249870281112	0.548054479249624	-2.09150328402407	1.73054926638874e-17
"155"	"MSTRG.8742"	0.183411307656242	0.443843125575074	-0.689981619195384	7.06943634286969e-06
"156"	"MSTRG.8823"	-0.665216020519977	0.00061912420644683	0.399095659822686	0.273121418736397
"157"	"MSTRG.8850"	-1.96643538500004	7.7989510485554e-23	-0.0970857727040661	0.809766393513148
"158"	"MSTRG.9013"	0.225655187413311	0.288465084980025	1.11888674079438	9.34861464825849e-08
"159"	"MSTRG.9017"	0.171810792329686	0.332182241325575	-0.949094185156317	0.000143932530902906
"160"	"MSTRG.9018"	-0.65487463435507	0.165806635373173	-3.74606204561131	5.21966419483091e-12
"161"	"MSTRG.9136"	0.658128154260363	0.00795682536254073	-0.769679036105299	0.00338048997113396
"162"	"MSTRG.9180"	-0.481675846679524	9.97642084858447e-06	0.388076652604615	0.130236742815451
"163"	"MSTRG.9216"	0.00916596701408044	0.954200520114993	-0.845877627022407	5.30477255686571e-05
"164"	"MSTRG.9344"	-0.448390152825198	0.0127263443221141	-2.10694883475887	2.55812212046543e-13
"165"	"MSTRG.9346"	0.938526873321036	1.50119174083909e-06	-1.92703248424848	7.12517574787374e-06
"166"	"MSTRG.9347"	0.0503250838875148	0.830177423791568	-2.54455039854884	4.76746709838164e-14
"167"	"MSTRG.9604"	0.86158381763468	0.0076843751325583	2.73677012375463	1.74125560826308e-08
"168"	"MSTRG.9615"	0.679235064822221	6.00743978606692e-05	-0.99247343305883	0.00171730941481349
"169"	"MSTRG.9714"	0.0330352620970475	0.828224534389305	-0.787176130208221	0.000752400825544392
"170"	"MSTRG.9849"	-0.0532195154870116	0.650985441306938	-1.07920486417641	4.08979546149606e-06
"171"	"MSTRG.10240"	0.714941840387366	0.00175995836818962	-0.914804784214633	0.00139609416171395
"172"	"MSTRG.10242"	0.536110639440372	0.0195900040363479	-1.45434678264392	1.23773223270556e-06
"173"	"MSTRG.10824"	-0.0541952081645921	0.744136179245467	-1.93150910171406	4.07951082222205e-08
"174"	"MSTRG.10825"	-0.154731568603394	0.529740812037444	-2.13008579073726	5.77232383529275e-08
"175"	"MSTRG.11005"	-1.00479353345045	3.42905787133512e-09	0.0056484388021169	0.975210142828512
"176"	"MSTRG.11082"	0.329882426942156	0.0132745710290565	-0.822696869764658	8.20811515000008e-06
"177"	"MSTRG.11134"	0.138593994211253	0.134501370377744	-0.648948283674606	0.00274284109287001
"178"	"MSTRG.11136"	0.524639545129976	0.00406188894357435	-0.481754267470205	0.0502819035452093
"179"	"MSTRG.11139"	0.184316203405627	0.252888221183292	-1.03761210820378	9.91345910923925e-06
"180"	"MSTRG.11156"	-0.897204265983613	0.000153354262590889	0.0209498897619682	0.920878223203555
"181"	"MSTRG.11244"	-0.683854789462164	4.76347086276024e-05	0.634306680537012	0.0618737254315826
"182"	"MSTRG.11283"	-0.109866477578532	0.749321387506274	1.34138180443907	1.12059869371311e-06
"183"	"MSTRG.11432"	0.152097206683812	0.0170393920965975	-0.648634421509945	0.00217308825966442
"184"	"MSTRG.11626"	0.240698127325847	0.117280204084728	-1.35858001305516	2.16002984646698e-06
"185"	"MSTRG.11773"	0.174963820747242	0.0517497369988861	-1.00991763331868	0.000125585405117814
"186"	"MSTRG.11982"	-0.76461009264039	0.000258159392921118	0.100273423907543	0.636327719062766
"187"	"MSTRG.12021"	-0.639916567190062	5.2859339394389e-07	0.225743818458649	0.366573613892552
"188"	"MSTRG.12046"	-0.0256781316528359	0.855850453265986	-1.39407092381004	1.58019235481687e-09
"189"	"MSTRG.12182"	-1.41229741813839	1.67430291668046e-09	-3.25263151962595	1.12712010692892e-26
"190"	"MSTRG.13020"	0.782835935320292	0.0110788277115355	-2.1834766760966	4.95260161204709e-11
"191"	"MSTRG.13049"	-0.169024528650465	0.233141820661336	1.0127022333757	3.53506863678807e-05
"192"	"MSTRG.13511"	-0.174107958256567	0.222542511277665	-0.968946213755922	1.34211950210075e-05
"193"	"MSTRG.13915"	-1.13800469037877	1.31624360403219e-06	0.233342619825054	0.350371074131181
"194"	"MSTRG.14134"	-0.683216612357344	0.000120601215636642	-2.82435065679837	1.89933504093793e-10
"195"	"MSTRG.14148"	0.249129112725909	0.268518453047782	-0.945081204996647	9.23463020964801e-05
"196"	"MSTRG.14514"	0.90604923782196	4.0802359120797e-06	1.78064577404212	1.0082751635008e-14
